Name,Description,CalculatedPopularityScore,carbohydrates,fat,protein,calories,protein-cal-ratio,Label,Image,UrlLink,Latitude,Longitude,,,
Pizza,"<p>The story of the invention of this everyday household name changes depending on how you define it. If you think a pizza is an oven-baked flatbread, its origins lie in the ancient Middle East. If pizza must have toppings, its origins date back to the ancient Romans and Greeks, who baked flatbreads and topped them with available, local spices and olive oil. But the pizza we all know today, made with tomato sauce, cheese, and numerous toppings, originated in Italy. It became popular in Naples in the 18th century as a cheap, nourishing food that was consumed mainly by peasants. The modern pizza as we know it today evolved from early Neapolitan flatbreads topped with lard, salt, and garlic. No one knows when or why the tomato first began being used in the preparation of pizza, but it is known that they were first recorded in Italy in 1544. While most Europeans initially disparaged them as poisonous, the southern Italians embraced them, giving them the name pomi d&rsquo;oro (golden apples). Although some say that tomatoes have been used on pizza marinara since 1734, others claim that they were not used until the early 19th century. The Italians credit Raffaele Esposito of Pizzeria Brandi as having invented the first modern pizza in 1889. He was supposed to make a variety of pizzas for the queen, so he made one with lard, cheese, and basil, one with fish, and one with mozzarella, basil, and tomatoes. Known as pizza alla mozzarella at the time, this last pizza later became known as pizza margherita, once the queen declared it as her favorite. Interestingly enough, the colors of the margherita are the same as those found on the Italian flag. Pizza crossed over the Italian border shortly thereafter, to Spain, France, England, and the United States, where it was introduced by Italian immigrants. However, it didn&rsquo;t gain much popularity until after World War II. In the United States, the first pizzeria was opened in New York City by Gennaro Lombardi in 1905, and since then it has become one of the most popular food items in the United States. In an ironic twist of fate, American-style pizza has been re-exported back to Italy, where it is has also gained in popularity today. In 2008, two Italian associations called Real Pizza and the Association of Neapolitan Pizza-makers introduced new regulations on what constitutes a true Neapolitan pizza. According to them, the real, legally-protected Neapolitan margherita should be made with exact amounts of mozzarella, salt, and tomatoes, and it should be baked in a wood-fired oven at 485&deg;C. Today, there are numerous variations of this beloved dish throughout the world, from those with simple toppings such as ham, prosciutto, onions, and bell peppers, to unusual variations such as hot dog or hamburger pizza or decadent toppings such as white truffles, edible gold, lobster, and caviar.</p>",102,33.985,11,13.49,289.45,0.046605631,Pizza,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/c2fae9d635d84e5e9719701f1a63ff46.png,pizza,40.84002501,14.245011,,,
Sushi,"<p>Sushi is Japan's most famous culinary representative, typically made with rice and fillings which have been rolled inside a a sheet of dry seaweed. However, the term <em>sushi</em> is actually an umbrella term covering a wide range of subvarieties which can be made with a myriad of different ingredients and in as many forms and presentations. Although the dish has become wrongly synonymous with raw fish, the primary ingredient of every type of sushi is only vinegared rice. Originally, sushi was only a method of preserving fish - first developed in Southeast Asia, but it reached Japan in the 8th century. Over time, the dish slowly transformed. Rice was no longer fermented but vinegared and eaten together with fish, and by the 19th century, sushi as we know it today was invented. Besides rice, which can be white or brown, other ingredients include seafood, meat, and vegetables that can be either raw or cooked. Termed as the original type of sushi, <em>nigirizushi </em>is prepared by draping a mound of rice with a sliced topping, frequently with some wasabi in between or on the side, while probably the most popular type of sushi known worldwide is <em>makizushi</em>; small, usually bite-sized cylindrical pieces most commonly wrapped in <em>nori</em> &mdash; a sheet of dry seaweed. Other best-known types of sushi include <em>chirashizushi</em>, served as a bowl of rice topped with a selection of raw ingredients; the pressed variety called <em>oshizushi</em>; <em>inarizushi </em>- deep-fried tofu sacs containing a filling; the traditional <em>narezushi</em> made with fermented rice; and <em>temaki</em>, cone-shaped pieces of seaweed filled with ingredients. Sushi can be eaten with chopsticks or fingers, and it is typically served on a platter or in a bento box with a compartment for dips (usually soy sauce). Due to the worldwide popularity of sushi, many variations of the dish developed outside of Japan.</p>",97,36.88578947,5.398421053,10.86421053,252.4210526,0.043040033,Sushi,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/e7da1186678e42fa81a8f46b842d91f2.png,sushi,35.6834367,139.7651438,,,
Burger,"<p>A quintessential American food, burger evolved from the German <em>Deutsches beefsteak</em>, according to the <em>New York Times</em> food critic Mimi Sheraton. Its other name (<em>hamburger</em>) is a result of the fact that many German immigrants originally came from the port of Hamburg. Burger is a succulent dish consisting of, ideally, medium-rare seared beef patties tucked in fresh, lightly toasted buns, accompanied by onion slices and ketchup or Dijon mustard. Of course, there is a variety of other condiments and vegetables such as salad greens and tomatoes, but they tend to turn the meat cold, according to Mrs. Sheraton. If cheese is added, it should be mozzarella, Gruyere or Cheddar, slightly melting and mildly pungent. It is yet unclear who first thought to encase the beef patties with buns. Giovanni Ballarini, a food historian, says that the immigrants were given grilled meat between sliced of bread, so there would be no plates involved, and no water was wasted for washing the dishes. Hannah Glasse first mentioned a Hamburg ""<em>sausage</em>"" in her 1747 cookbook <em>The Art of Cookery, Made Plain and Easy</em>, defining it as a chopped mixture of beef and spices that should be served with toast. Or maybe it was Charlie Nagreen, a meatball seller from Wisconsin, who, in 1885, decided to put meatballs between bread so the consumers could eat them while walking at a country fair where he worked. Today, toppings and accompaniments vary from region to region, but for an original version one should visit <em>Louis' Lunch</em> in New Haven, Connecticut, serving the burgers since 1900, and claiming to be the oldest burger joint in the United States. Whatever the theories about the origin of burgers may be, and there are a lot of them, it is a convenient, simple and hearty meal that most meat lovers will gladly indulge in.</p>",96,19.08,18.495,23.275,350.2,0.066462022,Burger,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/a32c3623259d4ddf979988d11a7a7141.png,burger,38.8925578,-77.03990137,,,
Ramen,"<p>Ramen is a noodle soup that first appeared in Japan in 1910, when Chinese cooks combined the noodles with a salty broth. These curly noodles were of bright yellow color and more elastic than the Japanese noodles prepared at the time &ndash; the dough was kneaded with a sodium carbonate-infused mineral water called <em>kansui</em>. In 1958, its name was derived from the pronunciation of the Chinese word <em>lamian</em> (pulled noodles), and that same year, <em>Nissin Foods</em> produced the first-ever instant version of noodles with a chicken-flavored broth called <em>Chickin Ramen</em>. Shortly after, the dish started to be exported around the world. Ramen should be cooked <em>al dente</em> and eaten quickly while it is still hot. It is not recommended to leave the noodles sitting in the broth for too long, as they tend to become too soft and mushy. The dish can be either <em>kotteri </em>(rich) or <em>assari/paitan</em> (light), depending on the opaqueness and the heaviness of the broth which is usually made using animal bones or dried seafood mixed with onions, garlic, ginger, leeks, and mushrooms. Two most famous types of ramen are <em>ramen of Kyushu,</em> prepared with a boiled pork bone broth called <em>tonkotsu</em>, and <em>ramen of Hokkaido, </em>made with a traditional seasoning called <em>red miso</em>.</p>",87,43.59473684,10.2,11.52105263,349.6315789,0.03295198,Ramen,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/e35d99d0270a4ca48d927483db846893.png,ramen,35.68414195,139.7637354,,,
Tacos,"<p>Tacos are the national dish of Mexico, dating back to the Mexican silver mines of the 18th century, when the word <em>taco</em> referred to gunpowder that was wrapped in a piece of paper and inserted into rocks. It was used to excavate the precious ore from mines and was called <em>tacos de minero</em> or <em>miner's tacos.</em> Today, the word is widely known to signify the leading street food and fast food item in Mexico &ndash; thin, flat griddle-baked tortillas topped with numerous fillings, folded and eaten without any utensils. A taco is basically anything eaten on a soft tortilla, and there is an infinite variety of them. In Sonora, in the north of Mexico, they eat the classic <em>carne asada</em> - thinly sliced meat grilled over coals and topped with salsa, onions, guacamole, and a lime wedge. In Baja, the topping consists of fried fish with cabbage and an acidic mayonnaise sauce. In Mexico City, <em>sudados</em> (sweated tacos) are the most popular option, filled with cooked and steamed meat. In Jalisco and Michoacan, they prepare <em>carnitas</em>, eaten in the morning or in the early afternoon, filled with deep fried pieces of pork that are sliced according to preference. Similar is the <em>taco de cabeza</em>, filled with pieces of cow's head that was steamed for a long time, and the customers can choose from slices of eyes, brains, tongue, lips, cheek, or ears. Tacos are mainly made of corn, except in the north, where wheat flour is used more often. They also differ in size, from the tiniest white tacos (<em>blancas</em>) to bigger ones, often made with blue corn. Most tacos come in pairs of two, in order to be able to hold all the flavorful and slightly wet ingredients. Some of them are fried until they become crispy and crunchy, in which case they're called <em>tostadas</em>. As anything can be a filling, there is a version made with fried veins from dried chiles, usually accompanied by salt, a tasty treat called <em>tacos de venas</em>. However, the standard is ground or shredded meat, cheese, potatoes, or vegetables and a topping of onions and coriander. Eaten at all times of day and night, one can find them on every corner in Mexico, in restaurants known as <em>taquerias.</em> Alternatively, they can be bought from numerous street vendors.</p>",86,27.39473684,12.5,19.40526316,311.4210526,0.062311982,Tacos,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/dd2302ad0644484f86174c32bea70623.png,tacos,19.44554253,-99.12618961,,,
Croissant,"<p>These flaky, golden-colored, crescent-shaped pastries are best made with pure butter and a slightly sweet yeast dough. If made properly, the yellow-white interior should be just the slightest bit elastic when pulled from the center, ready to be covered with a pad of butter or some fresh jam. Experts agree that the croissant was heavily influenced by Austrian <em>kipfels</em>. This pastry originated in 1683 as a celebration of the Austrian victory over the Ottoman Empire, its shape supposedly mimicking the crescent moon found on the Turkish flag. However, the croissant became French the moment people began to make it with puff pastry, a French innovation. Today, French croissants come filled with chocolate, jam, raisins, or even cream cheese. Sold fresh at numerous French boulangeries, they are mainly consumed as a breakfast item.</p>",72,27.9448,12.686,5.5497,249.501,0.022243197,Croissant,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/d95337304ef94e558b474985fcc66dea.png,croissant,48.85660016,2.350307284,,,
Cupcake,"<p>A cupcake is a tiny cake that is baked in a thin paper mold or an aluminum cup. One cupcake should typically serve one person. The first mention of a cupcake can be traced back to a 1796 cookbook called <em>American Cookery</em>, written by Amelia Simmons. Her recipe stated that a cake is to be baked in small cups. The term <em>cupcake</em> has first been used in 1828 in Eliza Leslie's <em>Receipts</em> cookbook. Over the years, cupcakes have become a huge industry, and the name cupcake is now given to any small cake that is about the size of a cup. Their popularity is probably owed to the fact that they bake much quicker than larger cakes. Chocolate and vanilla are still the classic flavors, while new ones such as raspberry meringue and espresso fudge can also be found in numerous bakeries and cupcakes shops around the world.</p>",72,36.84866667,13.26916667,2.734,283.9166667,0.009629586,Cupcake,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/fe887a61b42a424f978cc4dc2e5c3f80.png,cupcake,38.89128855,-77.02188369,,,
Mochi,"<p>Mochi, the tiny cakes made out of glutinous rice, are an important part of Japanese cuisine and culture. The preparation of mochi starts with a time-consuming process of pounding boiled or steamed rice, usually the glutinous <em>mochigome</em> variety until it forms into a thick and homogenous paste. Later it is rolled and shaped into small circular forms. Although its origins might be in China, mochi has been associated with Japan for centuries. It initially appeared during the Yayoi period, when it was only enjoyed by the aristocracy, up until the Heian period, when it became a food that was commonly prepared and served during religious festivities, as people believed it brings fortune and health. Mochi can be incorporated in savory dishes, usually soups and snacks, but most commonly it is made into a confectionery item. In its dessert form, mochi is usually dressed up with food coloring, creating a myriad of delightful color combinations. The most common confectionery is referred to as <em>daifuku </em>- round cakes filled with different ingredients such as the traditional red bean paste, strawberries, or ice cream. Due to its chewy texture, it is important to be extra careful and attentive while eating mochi and to take tiny bites of this glutinous treat.</p>",72,32.95790526,4.200126316,2.097594737,167.6907368,0.01250871,Mochi,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/cf8825270eb744c6b36f3913b5ba5dcc.png,mochi,35.68227513,139.7637639,,,
Tortilla,"<p>Tortilla, originally a corn flatbread, is one of the essential bread varieties that has been present in Mexican culture for thousands of years. The first tortilla was created out of the staple ingredient of indigenous cultures, the ubiquitous corn. It was an ingredient used by the ancient Mesoamerican people, who would store the corn kernels and later process them to create <em>masa</em>, which was then formed into balls and hand pressed to create the familiar, round and thin tortilla. This ancient tradition is still present among some native Indian groups, who are excessively trained to perfect the art of making authentic tortillas. The narrative of the tortilla has been inadvertently changed after the arrival of Spanish conquistadors to the area in the 15th century. The conquistadors brought their different culinary traditions, in which wheat played a crucial role, while the authentic corn was regarded as food of the plebeians. However, the tradition of growing and cooking with corn remained popular in rural areas among the indigenous Indians. The emergence of the wheat tortilla is believed to have happened during the colonial time, but what caused its appearance is not quite clear. Some theories claim that it grew out of the European tradition, some that it was an intentional invention of Indians to please the palates of European conquistadors, and some even say that the exiled Spanish Jews created it since they believed corn was not kosher. Regardless of the reason, wheat tortilla has first spread around the area of the Rio Grande River and continued to gain popularity following the agricultural production and advancement. Today, tortillas are not only a Mexican favorite: due to proximity, historical influence, and large Hispanic influx, tortillas have stopped being regarded as an ethnic bread in the United States, and have thoroughly been immersed as a part of the American culinary heritage. Today, tortillas are usually used as a foundation and a wrapper to numerous dishes such as <em>tacos</em>, <em>burritos</em>, <em>enchiladas,</em> and <em>quesadillas</em>. They are also commonly served alongside stews and chilies, where they are often used as an accompaniment and a utensil used to scoop the dish. Whether made with corn or wheat, this ancient Mexican product has gained followers around the world and has become one of the most common bread varieties in the world.</p>",72,19.125,2.9125,3.375,113.25,0.029801325,Tortilla,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/42c1037dc79c4a10b771d3517d6df3fa.png,tortilla,19.43777261,-99.13442936,,,
Sashimi,"<p>Sashimi is a Japanese delicacy consisting of thinly sliced raw fish or shellfish (or even meat) served with soy sauce and other ingredients such as wasabi or ginger paste. Most common ingredients used in the preparation of sashimi are tuna, squid, scallop, whale, and octopus. Sashimi can be cut in different ways to alter the appearance of the dish, from extremely thin to very thick slices of fish. It is usually served as an appetizer, decorated with shiso leaves, cucumbers, and seaweed (<em>wakame</em> and <em>tosaka-nori</em>). There is a tradition in Japan to serve an odd number of pieces of sashimi on a plate called <em>mukozuke,</em> because it is considered bad luck to have an even number of ingredients. Sashimi is often confused with another popular Japanese dish, <em>sushi</em>, a dish made with raw fish and vinegared rice. Sashimi and sushi also share a common history, as both dishes were originally prepared during the 8th century in Southeast Asia.</p>",67,5.026511765,8.567305882,14.69683529,159.4725353,0.092159037,Sashimi,https://raw.githubusercontent.com/TimMeng19/casa0003_group/main/img/5e16a76cd7604b57b28b1abefc8d2c7a.png,sashimi,35.68281196,139.7611087,,,
